employee_id,fiscal_year,evaluation_grade,evaluation_score
E00423,2024,B,3
E00423,2025,S,5
E00424,2023,C,2
E00424,2024,S,5
E00424,2025,A,4
E00425,2023,B,3
E00425,2024,D,1
E00425,2025,A,4
E00426,2023,D,1
E00426,2024,D,1
E00426,2025,D,1
E00427,2023,B,3
E00427,2024,A,4
E00427,2025,A,4
E00428,2023,S,5
E00428,2024,B,3
E00428,2025,S,5
E00429,2023,C,2
E00429,2024,B,3
E00429,2025,B,3
E00430,2023,D,1
E00430,2024,D,1
E00430,2025,D,1
E00431,2023,B,3
E00431,2024,S,5
E00431,2025,A,4
E00432,2023,A,4
E00432,2024,B,3
E00432,2025,C,2
E00433,2023,D,1
E00433,2024,A,4
E00433,2025,C,2
E00434,2023,D,1
E00434,2024,B,3
E00434,2025,D,1
E00435,2023,B,3
E00435,2024,B,3
E00435,2025,B,3
E00436,2023,A,4
E00436,2024,C,2
E00436,2025,B,3
E00437,2023,A,4
E00437,2024,S,5
E00437,2025,S,5
E00438,2023,D,1
E00438,2024,D,1
E00438,2025,D,1
E00439,2023,B,3
E00439,2024,B,3
E00439,2025,C,2
E00440,2023,D,1
E00440,2024,C,2
E00440,2025,B,3
E00441,2023,A,4
E00441,2024,S,5
E00441,2025,C,2
E00442,2023,B,3
E00442,2024,B,3
E00442,2025,A,4
E00443,2023,C,2
E00443,2024,C,2
E00443,2025,D,1
E00444,2023,B,3
E00444,2024,D,1
E00444,2025,D,1
E00445,2023,B,3
E00445,2024,B,3
E00445,2025,C,2
E00446,2023,B,3
E00446,2024,C,2
E00446,2025,C,2
E00447,2023,D,1
E00447,2024,S,5
E00447,2025,A,4
E00448,2023,S,5
E00448,2024,B,3
E00448,2025,C,2
E00449,2023,D,1
E00449,2024,D,1
E00449,2025,D,1
E00450,2023,B,3
E00450,2024,A,4
E00450,2025,S,5
E00451,2023,D,1
E00451,2024,D,1
E00451,2025,D,1
E00452,2023,S,5
E00452,2024,A,4
E00452,2025,S,5
E00453,2023,B,3
E00453,2024,C,2
E00453,2025,B,3
E00454,2023,A,4
E00454,2024,B,3
E00454,2025,A,4
E00455,2023,A,4
E00455,2024,A,4
E00455,2025,B,3
E00456,2023,C,2
E00456,2024,A,4
E00456,2025,B,3
E00457,2023,B,3
E00457,2024,D,1
E00457,2025,C,2
E00458,2023,B,3
E00458,2024,D,1
E00458,2025,D,1
E00459,2023,B,3
E00459,2024,B,3
E00459,2025,C,2
E00460,2023,C,2
E00460,2024,D,1
E00460,2025,D,1
E00461,2023,A,4
E00461,2024,S,5
E00461,2025,B,3
E00462,2023,C,2
E00462,2024,D,1
E00462,2025,C,2
E00463,2023,A,4
E00463,2024,S,5
E00463,2025,S,5
E00464,2023,C,2
E00464,2024,A,4
E00464,2025,A,4
E00465,2023,B,3
E00465,2024,A,4
E00465,2025,B,3
E00466,2023,A,4
E00466,2024,B,3
E00466,2025,D,1
E00467,2023,S,5
E00467,2024,S,5
E00467,2025,A,4
E00468,2023,D,1
E00468,2024,D,1
E00468,2025,D,1
E00469,2023,S,5
E00469,2024,D,1
E00469,2025,A,4
E00470,2023,C,2
E00470,2024,C,2
E00470,2025,A,4
E00471,2023,C,2
E00471,2024,C,2
E00471,2025,C,2
E00472,2023,B,3
E00472,2024,C,2
E00472,2025,A,4
E00473,2023,B,3
E00473,2024,C,2
E00473,2025,D,1
E00474,2023,C,2
E00474,2024,B,3
E00474,2025,D,1
E00475,2023,C,2
E00475,2024,C,2
E00475,2025,C,2
E00476,2023,B,3
E00476,2024,A,4
E00476,2025,A,4
E00477,2023,C,2
E00477,2024,C,2
E00477,2025,C,2
E00478,2023,B,3
E00478,2024,B,3
E00478,2025,B,3
E00479,2023,A,4
E00479,2024,A,4
E00479,2025,A,4
E00480,2023,A,4
E00480,2024,C,2
E00480,2025,B,3
E00481,2023,B,3
E00481,2024,B,3
E00481,2025,B,3
E00482,2023,D,1
E00482,2024,D,1
E00482,2025,D,1
E00483,2023,B,3
E00483,2024,A,4
E00483,2025,B,3
E00484,2023,B,3
E00484,2024,B,3
E00484,2025,D,1
E00485,2023,D,1
E00485,2024,A,4
E00485,2025,C,2
E00486,2023,C,2
E00486,2024,A,4
E00486,2025,B,3
E00487,2023,D,1
E00487,2024,C,2
E00487,2025,C,2
E00488,2023,C,2
E00488,2024,C,2
E00488,2025,C,2
E00489,2023,B,3
E00489,2024,C,2
E00489,2025,C,2
E00490,2023,B,3
E00490,2024,A,4
E00490,2025,B,3
E00491,2023,S,5
E00491,2024,A,4
E00491,2025,B,3
E00492,2023,B,3
E00492,2024,B,3
E00492,2025,B,3
E00493,2023,B,3
E00493,2024,A,4
E00493,2025,B,3
E00494,2023,A,4
E00494,2024,B,3
E00494,2025,B,3
E00495,2023,A,4
E00495,2024,C,2
E00495,2025,A,4
E00496,2023,D,1
E00496,2024,C,2
E00496,2025,D,1
E00497,2023,C,2
E00497,2024,C,2
E00497,2025,D,1
E00498,2023,S,5
E00498,2024,S,5
E00498,2025,A,4
E00499,2023,C,2
E00499,2024,B,3
E00499,2025,C,2
E00500,2023,B,3
E00500,2024,C,2
E00500,2025,C,2
E00501,2023,B,3
E00501,2024,A,4
E00501,2025,A,4
E00502,2023,S,5
E00502,2024,A,4
E00502,2025,S,5
E00503,2023,B,3
E00503,2024,A,4
E00503,2025,A,4
E00504,2023,C,2
E00504,2024,D,1
E00504,2025,D,1
E00505,2023,C,2
E00505,2024,C,2
E00505,2025,B,3
E00506,2023,B,3
E00506,2024,B,3
E00506,2025,S,5
E00507,2023,A,4
E00507,2024,C,2
E00507,2025,A,4
E00508,2023,C,2
E00508,2024,B,3
E00508,2025,S,5
E00509,2023,B,3
E00509,2024,S,5
E00509,2025,A,4
E00510,2023,A,4
E00510,2024,S,5
E00510,2025,S,5
E00511,2023,D,1
E00511,2024,A,4
E00511,2025,B,3
E00512,2023,A,4
E00512,2024,B,3
E00512,2025,A,4
E00513,2023,S,5
E00513,2024,B,3
E00513,2025,S,5
E00514,2023,C,2
E00514,2024,D,1
E00514,2025,S,5
E00515,2023,B,3
E00515,2024,B,3
E00515,2025,C,2
E00516,2023,S,5
E00516,2024,D,1
E00516,2025,C,2
E00517,2023,A,4
E00517,2024,A,4
E00517,2025,S,5
E00518,2023,B,3
E00518,2024,B,3
E00518,2025,B,3
E00519,2023,B,3
E00519,2024,B,3
E00519,2025,C,2
E00520,2023,A,4
E00520,2024,C,2
E00520,2025,S,5
E00521,2023,B,3
E00521,2024,B,3
E00521,2025,A,4
E00522,2023,A,4
E00522,2024,S,5
E00522,2025,S,5
E00523,2023,C,2
E00523,2024,B,3
E00523,2025,B,3
E00524,2023,A,4
E00524,2024,C,2
E00524,2025,A,4
E00525,2023,D,1
E00525,2024,A,4
E00525,2025,A,4
E00526,2023,C,2
E00526,2024,D,1
E00526,2025,D,1
E00527,2023,B,3
E00527,2024,B,3
E00527,2025,B,3
E00528,2023,D,1
E00528,2024,B,3
E00528,2025,B,3
E00529,2023,B,3
E00529,2024,B,3
E00529,2025,B,3
E00530,2023,A,4
E00530,2024,S,5
E00530,2025,S,5
E00531,2023,S,5
E00531,2024,A,4
E00531,2025,S,5
E00532,2023,A,4
E00532,2024,A,4
E00532,2025,C,2
E00533,2023,S,5
E00533,2024,S,5
E00533,2025,S,5
E00534,2023,B,3
E00534,2024,S,5
E00534,2025,A,4
E00535,2023,A,4
E00535,2024,A,4
E00535,2025,A,4
E00536,2023,S,5
E00536,2024,A,4
E00536,2025,C,2
E00537,2023,B,3
E00537,2024,B,3
E00537,2025,S,5
E00538,2023,A,4
E00538,2024,B,3
E00538,2025,A,4
E00539,2023,S,5
E00539,2024,B,3
E00539,2025,B,3
E00540,2023,B,3
E00540,2024,D,1
E00540,2025,B,3
E00541,2023,C,2
E00541,2024,B,3
E00541,2025,S,5
E00542,2023,B,3
E00542,2024,C,2
E00542,2025,D,1
E00543,2023,C,2
E00543,2024,A,4
E00543,2025,S,5
E00544,2023,D,1
E00544,2024,B,3
E00544,2025,B,3
E00545,2023,D,1
E00545,2024,D,1
E00545,2025,C,2
E00546,2023,C,2
E00546,2024,A,4
E00546,2025,A,4
E00547,2023,S,5
E00547,2024,B,3
E00547,2025,S,5
E00548,2023,B,3
E00548,2024,C,2
E00548,2025,B,3
E00549,2023,B,3
E00549,2024,C,2
E00549,2025,C,2
E00550,2023,C,2
E00550,2024,D,1
E00550,2025,A,4
E00551,2023,C,2
E00551,2024,A,4
E00551,2025,B,3
E00552,2023,C,2
E00552,2024,B,3
E00552,2025,D,1
E00553,2023,D,1
E00553,2024,C,2
E00553,2025,C,2
E00554,2023,A,4
E00554,2024,S,5
E00554,2025,A,4
E00555,2023,C,2
E00555,2024,S,5
E00555,2025,C,2
E00556,2023,B,3
E00556,2024,D,1
E00556,2025,D,1
E00557,2023,C,2
E00557,2024,C,2
E00557,2025,A,4
E00558,2023,S,5
E00558,2024,S,5
E00558,2025,A,4
E00559,2023,C,2
E00559,2024,D,1
E00559,2025,C,2
E00560,2023,C,2
E00560,2024,B,3
E00560,2025,C,2
E00561,2023,S,5
E00561,2024,S,5
E00561,2025,B,3
E00562,2023,A,4
E00562,2024,C,2
E00562,2025,C,2
E00563,2023,B,3
E00563,2024,A,4
E00563,2025,B,3
E00564,2023,B,3
E00564,2024,B,3
E00564,2025,B,3
E00565,2023,D,1
E00565,2024,B,3
E00565,2025,D,1
E00566,2023,C,2
E00566,2024,B,3
E00566,2025,C,2
E00567,2023,A,4
E00567,2024,A,4
E00567,2025,B,3
E00568,2023,A,4
E00568,2024,C,2
E00568,2025,D,1
E00569,2023,C,2
E00569,2024,B,3
E00569,2025,A,4
E00570,2023,A,4
E00570,2024,C,2
E00570,2025,A,4
E00571,2023,A,4
E00571,2024,B,3
E00571,2025,A,4
E00572,2023,B,3
E00572,2024,C,2
E00572,2025,B,3
E00573,2023,D,1
E00573,2024,B,3
E00573,2025,C,2
E00574,2023,S,5
E00574,2024,A,4
E00574,2025,A,4
E00575,2023,B,3
E00575,2024,A,4
E00575,2025,B,3
E00576,2023,S,5
E00576,2024,S,5
E00576,2025,A,4
E00577,2023,B,3
E00577,2024,B,3
E00577,2025,D,1
E00578,2023,D,1
E00578,2024,D,1
E00578,2025,D,1
E00579,2023,A,4
E00579,2024,S,5
E00579,2025,S,5
E00580,2023,C,2
E00580,2024,B,3
E00580,2025,A,4
E00581,2023,A,4
E00581,2024,S,5
E00581,2025,A,4
E00582,2023,C,2
E00582,2024,D,1
E00582,2025,C,2
E00583,2023,S,5
E00583,2024,S,5
E00583,2025,S,5
E00584,2023,B,3
E00584,2024,B,3
E00584,2025,A,4
E00585,2023,A,4
E00585,2024,S,5
E00585,2025,A,4
E00586,2023,S,5
E00586,2024,A,4
E00586,2025,S,5
E00587,2023,B,3
E00587,2024,A,4
E00587,2025,A,4
E00588,2023,A,4
E00588,2024,B,3
E00588,2025,B,3
E00589,2023,S,5
E00589,2024,S,5
E00589,2025,A,4
E00590,2023,C,2
E00590,2024,C,2
E00590,2025,D,1
E00591,2023,D,1
E00591,2024,B,3
E00591,2025,C,2
E00592,2023,C,2
E00592,2024,D,1
E00592,2025,B,3
E00593,2023,D,1
E00593,2024,B,3
E00593,2025,C,2
E00594,2023,B,3
E00594,2024,D,1
E00594,2025,D,1
E00595,2023,S,5
E00595,2024,S,5
E00595,2025,S,5
E00596,2023,B,3
E00596,2024,S,5
E00596,2025,B,3
E00597,2023,B,3
E00597,2024,A,4
E00597,2025,B,3
E00598,2023,A,4
E00598,2024,A,4
E00598,2025,C,2
E00599,2023,B,3
E00599,2024,C,2
E00599,2025,A,4
E00600,2023,B,3
E00600,2024,C,2
E00600,2025,A,4
